"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 09 19:54:36 MSK 2024","Tue Jul 09 19:54:42 MSK 2024","6498","","SauceDemo.TestingLogin.LoginTest","","SauceDemo.TestingLogin.LoginTest","","LoginTestPositive(""https://www.saucedemo.com/inventory.html"")",""
"passed","Tue Jul 09 19:54:22 MSK 2024","Tue Jul 09 19:54:28 MSK 2024","6133","","SauceDemo.TestingLogin.LoginTest","","SauceDemo.TestingLogin.LoginTest","","LoginTestEmptyNegative(""Epic sadface: Username is required"")",""
"passed","Tue Jul 09 19:54:15 MSK 2024","Tue Jul 09 19:54:22 MSK 2024","7391","","SauceDemo.TestingCheckout.CheckoutTest","","SauceDemo.TestingCheckout.CheckoutTest","","CheckoutTest1(""Thank you for your order!"")",""
"passed","Tue Jul 09 19:54:07 MSK 2024","Tue Jul 09 19:54:15 MSK 2024","7518","","SauceDemo.TestingBurger.BurgerMenuTest","","SauceDemo.TestingBurger.BurgerMenuTest","","BurgerMenuLogoutTest(""https://www.saucedemo.com/inventory.html"",""https://www.saucedemo.com/"")",""
"passed","Tue Jul 09 19:55:02 MSK 2024","Tue Jul 09 19:55:09 MSK 2024","7015","","SauceDemo.TestingWithPatterns.LoginTestPatern","","SauceDemo.TestingWithPatterns.LoginTestPatern","","LoginTest(SauceDemo.Models.Users.ProblemUser,""Products"")",""
"passed","Tue Jul 09 19:54:56 MSK 2024","Tue Jul 09 19:55:02 MSK 2024","6559","","SauceDemo.TestingWithPatterns.LoginTestPatern","","SauceDemo.TestingWithPatterns.LoginTestPatern","","LoginTest(SauceDemo.Models.Users.StandartUser,""Products"")",""
"passed","Tue Jul 09 19:55:57 MSK 2024","Tue Jul 09 19:56:03 MSK 2024","5941","","SauceDemo.TestingWithPatterns.SortTestPatern","","SauceDemo.TestingWithPatterns.SortTestPatern","","SortLoHiTest(SauceDemo.Models.Users.ProblemUser,True)",""
"passed","Tue Jul 09 19:55:09 MSK 2024","Tue Jul 09 19:55:20 MSK 2024","10904","","SauceDemo.TestingWithPatterns.LoginTestPatern","","SauceDemo.TestingWithPatterns.LoginTestPatern","","LoginTest(SauceDemo.Models.Users.GlitchUser,""Products"")",""
"passed","Tue Jul 09 19:55:50 MSK 2024","Tue Jul 09 19:55:57 MSK 2024","6901","","SauceDemo.TestingWithPatterns.SortTestPatern","","SauceDemo.TestingWithPatterns.SortTestPatern","","SortLoHiTest(SauceDemo.Models.Users.StandartUser,True)",""
"passed","Tue Jul 09 19:54:42 MSK 2024","Tue Jul 09 19:54:49 MSK 2024","6843","","SauceDemo.TestingSort.SortTest","","SauceDemo.TestingSort.SortTest","","SortTestLoHi",""
"passed","Tue Jul 09 19:55:33 MSK 2024","Tue Jul 09 19:55:50 MSK 2024","16343","","SauceDemo.TestingWithPatterns.SortTestPatern","","SauceDemo.TestingWithPatterns.SortTestPatern","","SortAZTest(SauceDemo.Models.Users.GlitchUser,True)",""
"passed","Tue Jul 09 19:55:27 MSK 2024","Tue Jul 09 19:55:33 MSK 2024","6483","","SauceDemo.TestingWithPatterns.SortTestPatern","","SauceDemo.TestingWithPatterns.SortTestPatern","","SortAZTest(SauceDemo.Models.Users.ProblemUser,True)",""
"passed","Tue Jul 09 19:56:03 MSK 2024","Tue Jul 09 19:56:19 MSK 2024","16350","","SauceDemo.TestingWithPatterns.SortTestPatern","","SauceDemo.TestingWithPatterns.SortTestPatern","","SortLoHiTest(SauceDemo.Models.Users.GlitchUser,True)",""
"passed","Tue Jul 09 19:54:28 MSK 2024","Tue Jul 09 19:54:36 MSK 2024","7679","","SauceDemo.TestingLogin.LoginTest","","SauceDemo.TestingLogin.LoginTest","","LoginTestNegative(""Epic sadface: Username and password do not match any user in this service"")",""
"passed","Tue Jul 09 19:55:20 MSK 2024","Tue Jul 09 19:55:27 MSK 2024","6893","","SauceDemo.TestingWithPatterns.SortTestPatern","","SauceDemo.TestingWithPatterns.SortTestPatern","","SortAZTest(SauceDemo.Models.Users.StandartUser,True)",""
"passed","Tue Jul 09 19:54:49 MSK 2024","Tue Jul 09 19:54:56 MSK 2024","6483","","SauceDemo.TestingSort.SortTest","","SauceDemo.TestingSort.SortTest","","SortTestZA",""
